,churn
53474,1
1383,1
57319,1
35603,1
45028,1
22766,1
20211,1
48394,1
55982,1
6639,1
67171,1
112120,0
20465,1
100900,0
49462,1
37029,1
86021,1
20763,1
43346,1
82413,1
54399,1
37826,1
108351,0
82183,1
3125,1
52987,1
75149,1
63800,1
103814,0
92022,1
40425,1
86679,0
97273,0
78113,1
25900,1
114756,0
57426,1
29650,1
59097,1
25964,1
33405,1
84836,1
94745,0
28679,1
107549,0
47118,1
29239,1
6132,1
16024,1
110381,0
44408,1
112611,0
10127,1
58131,1
39132,1
75402,1
111094,0
77683,1
11713,1
9396,1
108844,0
101533,0
27202,1
105576,0
104166,0
106349,0
70123,1
73700,1
18734,1
67130,1
90379,1
23767,1
6869,1
105406,0
46202,1
46920,1
103906,0
68369,1
109682,0
44775,1
86349,1
94015,0
86391,1
111080,0
29704,1
26632,1
85979,1
52352,1
81013,1
97207,0
53344,1
1511,1
8426,1
34869,1
108585,0
2513,1
77233,1
106183,0
44801,1
19364,1
11568,1
57360,1
77817,1
68867,1
105082,0
57838,1
17452,1
76834,1
15929,1
52893,1
104008,0
40392,1
37206,1
552,1
83847,1
17544,1
107866,0
104043,0
28185,1
97147,0
12832,1
86131,1
1611,1
59822,1
93416,1
54643,1
69968,1
29415,1
82985,1
64397,1
97625,0
738,1
50207,1
14461,1
35942,1
83619,1
27874,1
52179,1
106775,0
3171,1
80715,1
30349,1
20613,1
73364,1
54931,1
38031,1
6018,1
98318,0
9079,1
3411,1
91707,1
69464,1
10327,1
68678,1
61304,1
101078,0
85197,1
19136,1
71160,1
47126,1
109120,0
105972,0
74395,1
31345,1
49000,1
4600,1
18760,1
56056,1
95590,0
107103,0
38798,1
77557,1
115637,0
90913,1
101354,0
11016,1
10714,1
90208,1
26125,1
107986,0
11977,1
81453,1
98262,0
91371,1
51757,1
13710,1
71643,1
104208,0
35595,1
77121,1
20433,1
25530,1
22834,1
112195,0
111098,0
103497,0
16641,1
14570,1
50173,1
10312,1
2438,1
75116,1
72953,1
28889,1
23669,1
76496,1
80463,1
3988,1
12385,1
52606,1
57894,1
25880,1
19628,1
103965,0
53164,1
5913,1
55567,1
24417,1
73812,1
98953,0
61270,1
7146,1
26379,0
61612,1
54576,1
57452,1
24249,1
86676,1
92388,1
28281,1
5290,1
106778,0
35582,1
91320,1
88427,1
40227,1
14135,1
66292,1
13815,1
46960,1
46671,1
115082,0
20181,1
14969,1
83856,1
2099,1
18007,1
86990,1
62760,1
10432,1
4866,1
95747,0
34780,1
52872,1
114928,0
70113,1
97630,0
67709,1
21580,1
79954,1
30702,1
81720,1
4986,1
23055,1
35970,1
55713,1
90678,1
93942,0
94636,0
17329,1
76511,1
53153,1
77497,1
2457,1
113297,0
19140,1
48895,1
12923,1
92137,1
58042,1
25378,1
97571,0
76424,1
104202,0
107417,0
99986,0
6691,1
17097,1
20614,1
37460,1
68643,1
42481,1
101124,0
33851,1
91978,1
8522,1
15445,1
20628,1
46138,1
103531,0
85242,1
78648,1
21479,1
66175,1
21923,1
42402,1
66399,1
107088,0
60714,1
112568,0
89717,1
58137,1
5576,1
13410,1
94057,0
43208,1
100931,0
30270,1
22251,1
27780,1
62172,1
23485,1
81692,1
30319,1
101312,0
58911,1
63818,1
36258,1
79258,1
56248,1
7460,1
57080,1
54642,1
74158,1
42534,1
106826,0
22802,1
30372,1
76391,1
31891,1
33943,1
92356,1
53852,1
16633,1
114096,0
44824,1
69230,1
29104,1
65159,1
22520,1
55172,1
73038,1
25673,1
107251,0
36498,1
78244,1
81251,1
110552,0
74612,1
47244,1
19341,1
103570,0
108300,0
78080,1
67214,1
113681,0
90089,1
59214,1
26342,1
44021,1
11036,1
77577,1
95162,0
84355,1
40682,1
36614,1
26798,1
48538,1
82029,1
67197,1
46520,1
63730,1
115009,0
84472,1
32041,1
89603,1
5582,1
63454,1
112041,0
41553,1
108629,0
46946,1
59514,1
4549,1
61456,1
13038,1
18302,1
42258,1
12026,1
72379,1
23879,1
113007,0
101851,0
34609,1
49296,1
93180,1
17657,1
40532,1
24936,1
32853,1
108898,0
78699,1
45422,1
70440,1
82126,1
20356,1
82996,1
65621,1
89782,0
71064,1
79839,1
66508,1
60551,1
93944,0
11335,1
28939,1
68117,1
89044,1
113672,0
73160,1
90766,1
50511,1
83514,1
30698,1
5600,1
68565,1
38297,1
58544,1
106557,0
107904,0
82018,1
38606,1
115431,0
96571,0
99887,0
98289,0
99874,0
111147,0
54490,1
82416,1
115262,0
59576,1
26974,1
47744,1
103724,0
21063,1
71680,1
15650,1
33261,1
11503,1
53501,1
9793,1
71194,1
85085,1
11841,1
89857,1
75230,1
61160,1
18125,1
23874,1
68376,1
55864,1
102658,0
86036,1
114487,0
35480,1
110132,0
53069,1
99643,0
72801,1
34320,1
64835,1
31215,1
112702,0
81093,1
43252,1
95846,0
21296,1
30573,1
11757,1
36052,1
86727,1
105674,0
39106,1
60594,1
52503,1
108223,0
730,1
23106,1
17717,1
109455,0
88879,1
30126,1
87905,1
84975,1
42157,1
81389,1
12111,1
26815,1
81394,1
95663,0
12341,1
100651,0
20585,1
64625,1
28347,1
9136,1
102911,0
94369,0
89003,1
38336,1
546,1
92348,1
84535,1
34628,1
40510,1
77090,1
83999,1
16724,1
22855,1
49395,1
88177,1
45466,1
10624,1
57490,1
39337,1
9374,1
79743,1
43948,1
105976,0
73376,1
101106,0
89253,1
4374,1
1823,1
77992,1
87988,1
47753,1
93010,1
72946,1
47155,1
51474,1
13591,1
65842,1
37909,1
58324,1
15358,1
19504,1
35974,1
4570,1
36886,1
71714,1
59687,1
40255,1
44996,1
48154,1
24951,1
20794,1
39382,1
55519,0
14855,1
92291,1
92935,1
64950,1
99244,0
92195,1
71672,1
18824,1
61572,1
732,1
85109,1
85910,1
20915,1
101222,0
101574,0
111908,0
102296,0
103337,0
112713,0
242,1
58448,1
8202,1
9181,1
40182,1
63281,1
60522,1
61610,1
63812,1
36419,1
62358,1
90250,1
31839,1
73762,1
813,1
77125,1
99828,0
38986,1
36662,1
87131,1
51104,1
74054,1
20482,1
51890,1
50140,1
95813,0
97623,0
97750,0
110120,0
87773,1
65737,1
95211,0
75165,1
110069,0
62863,1
76495,1
100760,0
43807,1
76816,1
27755,1
69450,1
8151,1
37883,1
98796,0
35961,1
16056,1
39038,1
55650,1
109746,0
1389,1
100076,0
93446,1
49340,1
93923,0
82986,1
109699,0
68614,1
41160,1
2794,1
94564,0
76195,1
12795,1
3527,1
106848,0
9769,1
51768,1
2570,1
79325,1
101126,0
12882,1
104066,0
20665,1
71292,1
102463,0
46475,1
43387,1
28765,1
70225,1
114204,0
31860,1
14350,1
26000,0
75592,1
62797,1
85515,1
6988,1
6277,1
57230,1
4987,1
88821,1
61023,1
11365,1
70267,1
21385,1
24751,1
24927,1
32934,1
30423,1
97443,0
113218,0
39712,1
108186,0
6460,1
194,1
106096,0
74666,1
45160,1
102640,0
112490,0
28100,1
102126,0
45382,1
14224,1
26057,1
73041,1
4913,1
114505,0
48159,1
24897,1
6297,1
12584,1
64200,1
111491,0
74744,1
44329,1
38521,1
25622,1
88625,1
8159,1
63337,1
38762,1
37737,1
22301,1
90673,1
32016,1
56041,1
45351,1
90521,1
114080,0
65829,1
74667,1
35810,1
75112,0
112733,0
57377,1
50847,1
70306,1
22084,1
15632,1
102666,0
39630,1
57030,1
64034,1
8084,1
789,1
104211,0
38265,1
20823,1
45491,1
41910,1
78701,1
3399,1
45481,1
51259,1
9557,1
52609,1
24860,1
53639,1
34465,1
93070,1
64484,1
92534,1
108514,0
86815,1
56015,1
112435,0
101832,0
52522,1
30038,1
11847,1
111168,0
74459,1
45869,1
52656,1
98561,0
44053,1
74961,1
88165,1
73399,1
96724,0
34645,1
20488,1
100115,0
99751,0
106044,0
27688,1
32059,1
58398,1
10436,1
48985,1
22502,1
11819,1
170,1
98956,0
103573,0
79676,1
87362,1
8855,1
102170,0
102295,0
79326,1
35444,1
15016,1
73853,1
476,1
29935,1
50925,1
27116,1
7171,1
113215,0
10647,1
82042,1
101127,0
32131,1
84661,1
34947,1
1880,1
16222,1
45866,1
105176,0
87420,1
15001,1
5928,1
26969,1
53955,1
108853,0
59497,1
109317,0
93218,1
73430,1
45292,1
59096,1
74981,1
7944,1
10933,1
62314,1
